UK Food,US Matches
"Cod, in batter, fried in blended oil","Cod, coated, fried, made with oil(63.77% match #26109140); "
"Catfish, steamed, weighed with bones","Catfish, coated, fried, made with butter(65.79% match #26107141); Catfish, steamed or poached(63.49% match #26107160); Catfish, coated, fried, made with cooking spray(62.65% match #26107144); "
"Cod, frozen, grilled","Cod, dried, salted(63.16% match #26109170); Carrots, cooked, from frozen, glazed(60.71% match #73102242); "
"Chital, raw","Chard, raw(76.19% match #72104100); Chives, raw(72.73% match #75109500); Cilantro, raw(66.67% match #75109550); "
"Cod, raw","Corn, raw(82.35% match #75109600); Collards, raw(76.19% match #72107100); Carrots, raw(70.0% match #73101010); "
"Cod, baked","Goat, baked(76.19% match #23150250); Cod, smoked(76.19% match #26109190); Taro, baked(76.19% match #71962040); "
"Cod, baked, weighed with bones and skin",
"Cod, poached","Cod, smoked(69.57% match #26109190); Cobbler, peach(61.54% match #53410800); "
"Cod, poached, weighed with bones and skin",
"Cod, steamed","Cod, smoked(78.26% match #26109190); Octopus, steamed(71.43% match #26205160); Frog legs, steamed(66.67% match #26203160); "
"Cod, steamed, weighed with bones and skin",
"Bream, Sea, raw","Beans, lima, raw(70.97% match #75102000); Beets, raw(64.0% match #75102500); Pepper, Serrano, raw(62.86% match #75121500); "
"Catfish, steamed","Catfish, steamed or poached(74.42% match #26107160); Crayfish, boiled or steamed(69.77% match #26309160); Oysters, steamed(68.75% match #26315130); "
"Halibut, poached, weighed with bones and skin","Halibut, coated, fried, made with oil(63.41% match #26118040); Halibut, coated, fried, made with butter(61.18% match #26118041); Halibut, coated, fried, made with cooking spray(60.87% match #26118044); "
"Haddock, smoked, poached, weighed with bones and skin",
"Haddock, smoked, steamed","Haddock, smoked(76.92% match #26117190); Haddock, steamed or poached(62.75% match #26117160); "
"Haddock, smoked, steamed, weighed with bones and skin",
"Hake, raw","Mackerel, raw(72.73% match #26121100); Orange, raw(70.0% match #61119010); Oats, raw(66.67% match #57602100); "
"Hake, grilled","Algae, dried(64.0% match #75200600); "
"Hake, grilled, weighed with bones and skin",
"Halibut, raw","Halibut, raw(100.0% match #26118000); Garlic, raw(69.57% match #75111500); Oats, raw(66.67% match #57602100); "
"Halibut, grilled","Halibut, raw(71.43% match #26118000); Halibut, smoked(70.97% match #26118060); Blintz, fruit-filled(61.11% match #53400300); "
"Haddock, smoked, poached","Haddock, steamed or poached(82.35% match #26117160); Haddock, smoked(76.92% match #26117190); Shark, steamed or poached(65.31% match #26143160); "
"Halibut, poached","Halibut, smoked(77.42% match #26118060); "
"Kalabasu, raw","Halibut, raw(72.0% match #26118000); Clams, raw(69.57% match #26303100); Kohlrabi, raw(69.23% match #75112000); "
"Hoki, raw","Fig, raw(70.59% match #63119010); Herring, raw(66.67% match #26119100); Lime, raw(66.67% match #61116010); "
"Hoki, grilled",
"John Dory, raw","Porgy, raw(66.67% match #26133100); Juneberry, raw(64.29% match #63126010); Corn, raw(60.87% match #75109600); "
"Lemon sole, raw","Lemon, raw(80.0% match #61113010); Lime, raw(66.67% match #61116010); Leek, raw(66.67% match #75112500); "
"Lemon sole, steamed","Frog legs, steamed(70.27% match #26203160); Octopus, steamed(62.86% match #26205160); Oysters, steamed(62.86% match #26315130); "
"Haddock, raw","Haddock, smoked(66.67% match #26117190); Avocado, raw(66.67% match #63105010); Mango, raw(63.64% match #63129010); "
"Boal, raw","Basil, raw(84.21% match #75109400); Banana, raw(70.0% match #63107010); Garlic, raw(70.0% match #75111500); "
"Lemon sole, grilled",Lemon pie filling(61.11% match #61113500); 
"Lemon sole, grilled, weighed with bones and skin",
"Halibut, grilled, weighed with bones and skin",
"Haddock, in batter, fried in sunflower oil",
"Haddock, smoked, raw","Haddock, smoked(85.71% match #26117190); Haddock, steamed or poached(68.09% match #26117160); Haddock cake or patty(63.41% match #27250310); "
"Haddock, steamed, weighed with bones and skin",
"Haddock, steamed","Haddock, smoked(83.87% match #26117190); Octopus, steamed(62.5% match #26205160); "
"Haddock, frozen, raw","Haddock, smoked(62.86% match #26117190); Tuna, fresh, raw(61.11% match #26153100); Peas, green, raw(61.11% match #75120000); "
"Haddock, poached, weighed with bones","Haddock, coated, fried(62.07% match #26117140); "
"Haddock, in batter, fried in blended oil","Haddock, coated, fried(61.29% match #26117140); "
"Haddock, poached","Haddock, smoked(77.42% match #26117190); "
"Haddock, in batter, fried in retail blend oil",
"Haddock, in flour, fried in blended oil",
"Haddock, grilled, weighed with bones",
"Haddock, coated in crumbs, frozen, fried in blended oil, weighed with bones and ",
"Haddock, coated in crumbs, frozen, fried in blended oil",
"Haddock, in batter, fried in dripping","Haddock, coated, fried(64.41% match #26117140); "
"Haddock, in flour, fried in sunflower oil, weighed with bones and skin",
"Haddock, in flour, fried in blended oil, weighed with bones and skin",
"Haddock, in flour, fried in sunflower oil",
"Haddock, grilled","Haddock, smoked(70.97% match #26117190); "
"Haddock, in flour, fried in dripping, weighed with bones and skin",
"Haddock, in flour, fried in dripping",
"Haddock, coated in crumbs, frozen, raw","Haddock, coated, fried(66.67% match #26117140); "
"Orange juice, freshly squeezed, weighed as whole fruit","Orange juice, freshly squeezed(71.43% match #61210010); Lime juice, freshly squeezed(60.98% match #61207010); "
"Grapefruit juice concentrate, unsweetened","Tea, made from frozen concentrate, unsweetened(71.26% match #92304000); "
Grape juice concentrate,"Coffee, liquid concentrate(65.31% match #92105000); "
"Pomegranate juice, fresh",Pomegranate juice(82.93% match #64126000); 
Passion fruit juice,Passion fruit juice(100.0% match #64121000); Passion fruit nectar(76.92% match #64213010); 
"Mango juice, canned","Tangerine juice, canned(80.95% match #61213220); Squid, canned(62.5% match #26213190); Mango, cooked(62.5% match #63129030); "
"Lime juice, fresh","Lime juice, frozen(85.71% match #61207600); Lime juice, NS as to form(66.67% match #61207000); Lime juice, canned or bottled(60.87% match #61207200); "
"Lemon juice, fresh, weighed as whole fruit","Lemon juice, freshly squeezed(61.97% match #61204010); "
Prune juice,Prune juice(100.0% match #64132010); Pomegranate juice(71.43% match #64126000); Papaya juice(60.87% match #64120010); 
"Orange juice, freshly squeezed","Orange juice, freshly squeezed(100.0% match #61210010); Orange juice, baby food(64.15% match #67205000); "
"Pears, dried","Sardines, dried(74.07% match #26139170); Cherries, dried(74.07% match #62106000); Papaya, dried(72.0% match #62114110); "
"Pears, William, raw, weighed with core",
"Pears, William, raw","Beans, lima, raw(74.29% match #75102000); Parsley, raw(64.52% match #75119000); Pepper, hot chili, raw(63.41% match #75121000); "
"Pears, average, raw, peeled","Pear, Japanese, raw(60.87% match #63137050); Peas, green, raw(60.47% match #75120000); "
"Pears, Conference, raw, weighed with core",
"Pears, average, raw, peeled, weighed with skin and core",
"Pears, average, stewed with sugar","Tea, herbal, presweetened with sugar(72.46% match #92306020); Tea, leaf, presweetened with sugar(68.66% match #92302200); Tea, NS as to type, presweetened with sugar(63.16% match #92301060); "
"Pears, Conference, raw","Peas, green, raw(73.68% match #75120000); Pepper, Serrano, raw(61.9% match #75121500); "
"Pears, canned in juice","Sardines, canned in oil(71.11% match #26139180); Pear, cooked or canned, juice pack(64.29% match #63137170); Peas, from canned, creamed(62.5% match #75417013); "
"Pears, Comice, raw, weighed with core",
"Pears, Comice, raw","Peas, green, raw(70.59% match #75120000); Parsley, raw(66.67% match #75119000); Beans, lima, raw(64.71% match #75102000); "
"Pears, canned in syrup","Sweet potato, canned in syrup(74.51% match #73407020); Pear, cooked or canned, in light syrup(70.0% match #63137140); Strawberries, cooked or canned, in syrup(64.52% match #63223130); "
"Pears, Nashi, raw","Pear, Japanese, raw(72.22% match #63137050); Beans, lima, raw(66.67% match #75102000); Peas, green, raw(66.67% match #75120000); "
"Pears, average, stewed without sugar","Tea, herbal, presweetened with sugar(69.44% match #92306020); Tea, leaf, presweetened with sugar(65.71% match #92302200); Wheat, puffed, presweetened with sugar(62.16% match #57416010); "
"Plums, Victoria, raw","Plum, raw(62.07% match #63143010); "
Pomelo,
"Pomegranate, weighed with skin","Pomegranate, raw(60.87% match #63145010); "
Pomegranate,"Pomegranate, raw(81.48% match #63145010); Pomegranate juice(78.57% match #64126000); "
"Plums, yellow, raw, weighed with stones",
"Melon, average, weighed whole",
"Pears, average, raw, weighed with core",
"Plums, Victoria, stewed without sugar, weighed with stones",
"Plums, Victoria, stewed without sugar","Peanuts, roasted, without salt(65.67% match #42111110); Peanuts, dry roasted, without salt(61.97% match #42111210); Prune, dried, cooked, with sugar(60.87% match #62122230); "
"Pears, Nashi, weighed with core","Peas, dry, cooked with pork(62.07% match #41304030); "
"Plums, average, stewed without sugar, weighed with stones",
"Pineapple, canned in syrup","Pineapple, cooked or canned, in heavy syrup(75.36% match #63141130); Pineapple, cooked or canned, in light syrup(75.36% match #63141140); Sweet potato, canned in syrup(69.09% match #73407020); "
"Pineapple, canned in juice","Pineapple juice(73.17% match #64124020); Pie, apple, fried pie(63.83% match #53301080); Pineapple, cooked or canned, in heavy syrup(63.77% match #63141130); "
"Pineapple, dried","Pineapple, dried(100.0% match #62120100); Pineapple, raw(80.0% match #63141010); Pineapple juice(77.42% match #64124020); "
"Pineapple, raw, weighed with skin and top",
"Pineapple, raw","Pineapple, raw(100.0% match #63141010); Apple, raw(75.0% match #63101000); Pear, raw(69.57% match #63137010); "
Phyalis,Pralines(66.67% match #91735000); 
"Plums, yellow, raw","Plum, raw(66.67% match #63143010); Squash, summer, yellow, raw(66.67% match #75128000); "
Mangosteen,
"Melon, Galia",
"Melon, Honeydew, weighed whole",
"Melon, Honeydew",
"Melon, Galia, weighed with skin",
"Melon, Galia, weighed whole",
"Melon, average, weighed with skin",
Mixed peel,Mixed seeds(76.19% match #43107000); 
Medlars,
"Mulberries, raw","Mulberries, raw(100.0% match #63217010); Youngberries, raw(81.25% match #63224000); Loganberries, raw(75.0% match #63215010); "
"Mangoes, ripe, canned in syrup","Sweet potato, canned in syrup(64.41% match #73407020); Figs, cooked or canned, in light syrup(61.76% match #63119140); "
"Mandarin oranges, canned in syrup","Sardines, canned in oil(64.29% match #26139180); Kumquat, cooked or canned, in syrup(61.76% match #61110230); Sweet potato, canned in syrup(61.29% match #73407020); "
"Pomelo, weighed with peel and pips",
Nectarines,"Nectarine, raw(75.0% match #63131010); Nectarine, cooked(66.67% match #63131110); "
"Mandarin oranges, canned in juice","Sardines, canned in oil(67.86% match #26139180); "
Mammie apple,"Fritter, apple(61.54% match #53415120); "
"Melon, average",Bean beverage(66.67% match #92306200); 
"Passion fruit, weighed with skin","Passion fruit, raw(64.0% match #63134010); Passion fruit nectar(61.54% match #64213010); "
"Peaches, canned in syrup","Sweet potato, canned in syrup(71.7% match #73407020); Pear, cooked or canned, in heavy syrup(67.74% match #63137130); Pear, cooked or canned, in light syrup(67.74% match #63137140); "
"Peaches, canned in juice","Sardines, canned in oil(68.09% match #26139180); Peach, cooked or canned, juice pack(64.41% match #63135170); Pear, cooked or canned, juice pack(62.07% match #63137170); "
"Peaches, dried, stewed without sugar","Peach, dried, cooked, with sugar(79.41% match #62116230); Pear, dried, cooked, with sugar(74.63% match #62119230); Prune, dried, cooked, with sugar(70.59% match #62122230); "
"Peaches, dried, stewed with sugar","Peach, dried, cooked, with sugar(83.08% match #62116230); Pear, dried, cooked, with sugar(78.12% match #62119230); Prune, dried, cooked, with sugar(73.85% match #62122230); "
"Peaches, dried","Peach, spiced(74.07% match #63135660); Peach, pickled(71.43% match #63135650); Seaweed, dried(71.43% match #75232000); "
"Paw-paw, canned in juice",Papaya juice(61.11% match #64120010); 
"Melon, Honeydew, weighed with skin",
"Paw-paw, raw","Papaya, raw(78.26% match #63133010); Pear, raw(66.67% match #63137010); Peach, raw(63.64% match #63135010); "
"Pears, average, raw","Peas, green, raw(74.29% match #75120000); Pepper, Serrano, raw(66.67% match #75121500); Pepper, banana, raw(63.16% match #75124000); "
Passion fruit,"Passion fruit, raw(83.87% match #63134010); Passion fruit juice(81.25% match #64121000); Passion fruit nectar(78.79% match #64213010); "
Ortaniques,Orange Julius(60.87% match #11552200); 
"Olives, in brine, weighed with stones",
"Olives, in brine","Olives, green(62.07% match #75510010); Olives, black(62.07% match #75510020); "
"Mulberries, stewed without sugar","Strawberries, raw, with sugar(68.85% match #63223030); Strawberries, frozen, with sugar(65.62% match #63223620); Apple, baked, with sugar(60.71% match #63101330); "
"Mulberries, stewed with sugar","Strawberries, raw, with sugar(72.41% match #63223030); Strawberries, frozen, with sugar(68.85% match #63223620); Apple, baked, with sugar(64.15% match #63101330); "
"Paw-paw, raw, weighed with skin and pips",
"Apricots, canned in syrup","Sweet potato, canned in syrup(74.07% match #73407020); Apricot, cooked or canned, in light syrup(72.73% match #63103140); Sweet potato, canned without syrup(64.41% match #73407010); "
Tamarillos,
"Peaches, raw","Peach, raw(90.91% match #63135010); Pear, raw(76.19% match #63137010); Beets, raw(72.73% match #75102500); "
Oranges,"Orange Julius(70.0% match #11552200); Orange, raw(66.67% match #61119010); Orange peel(66.67% match #61119100); "
"Melon, watermelon",
"Mangoes, ripe, raw","Tangerine, raw(75.0% match #61125010); Mango, raw(71.43% match #63129010); Cabbage, red, raw(68.57% match #75105000); "
Kiwi fruit,"Kiwi fruit, raw(80.0% match #63126500); "
"Apricots, canned in juice","Apricot, cooked or canned, juice pack(67.74% match #63103170); Apricots, baby food, junior(61.54% match #67307020); Apricot, cooked or canned, in heavy syrup(60.61% match #63103130); "
Clementines,
"Fruit salad, homemade","Granola, homemade(73.68% match #57228000); Salsa, red, homemade(63.41% match #74402200); "
"Whitecurrants, stewed without sugar","Peanuts, roasted, without salt(67.69% match #42111110); Peanuts, dry roasted, without salt(63.77% match #42111210); "
"Whitecurrants, stewed with sugar","Strawberries, raw, with sugar(62.3% match #63223030); Applesauce, stewed apples, with sugar(60.87% match #63101130); "
"Whitecurrants, raw","Currants, raw(77.42% match #63117010); Watercress, raw(66.67% match #72130100); Chives, raw(62.07% match #75109500); "
"Tangerines, weighed with peel and pips",
Tangerines,"Tangerine, raw(75.0% match #61125010); "
"Melon, Canteloupe-type",
"Grapefruit, raw","Grapefruit, raw(100.0% match #61101010); Kiwi fruit, raw(66.67% match #63126500); Passion fruit, raw(66.67% match #63134010); "
